name,calories,protein,fats,carbs,fiber,Ca(mg),Fe,Mg,P,K,Na,Zn,Cu,Mn,I(ug),Se,Mo,Vit D,Vit B6,Vit B12,Vit C
chicken breast (raw),106,22.5,1.93,0,0,4,0.35,26.2,215,330,66,0.65,0.004,0.0125,0,0,0,0,0,0,0
chicken breast (cooked),158,32.1,3.24,0,0,6,0.49,32,241,343,47,0.96,0.004,0.012,0,3.19,0,0,0.921,0.2,0
atlantic salmon,197,20.3,13.1,0,0,9,0.26,25.4,230,378,49,0.34,0.025,0.0125,3.2,22.8,0,0,0,5.7,0
tuna,88,21.12,0.88,0,0,10,1.0,50,250,237,250,0.8,0.1,0.01,50,80,0,0,0.35,2.99,0
lentils,360,23.6,1.92,62.2,0,62,7.16,107,374,949,2.5,3.86,0.838,1.57,0,0,0,0,0,0,0
black beans,118,6.91,1.27,19.8,6.69,43,1.69,32.5,91,253,218,0.74,0.336,0.332,0,0,0,0,0,0,0
nonfat greek yogurt,59,10.3,0.37,3.64,0,111,0.07,10.7,136,141,36,0.53,0.017,0.009,0,9.9,0,0,0.064,0.7,0
whole greek yogurt,94,8.78,4.39,4.75,0,111,0,10.7,126,147,34,0.47,0.01,0.006,42.3,0,0,0.1,0.044,0,0
eggs,143,12.4,9.96,0.96,0.75,48,1.67,11.4,184,132,129,1.24,0.1,0.05,49.1,31.1,0,2.46,0.063,1.02,0
egg whites,52,10.7,0.08,2.36,0,0,0,0,0,0,0,0,0,0,0,17.9,0,0,0,0,0
2% cottage cheese,82,11,2.3,4.31,0,103,0.13,8.9,148,120,321,0.61,0.03,0.015,0,14.6,0,0,0.057,0.42,0
full fat cottage cheese,103,11.6,4.22,4.6,0,88,0.4,9.2,154,124,350,0.45,0.04,0.08,45.7,0,0,0,0.047,0.66,0
bone broth,15,3.4,0,0,0,4,0.21,0,35,128,149,0.2,0.02,0.01,2,2,0,0,0,0,0
80/20 ground beef,243,17.5,19.4,0,0,7,1.96,16.4,144,273,55,3.85,0.055,0.0125,0,0,0,0,0,0,0
90/10 ground beef,190,18.2,12.8,0,0,7,2.13,16.5,148,281,62,4.19,0.056,0.0125,0,0,0,0,0,0,0
deli turkey,104,19,2,2,0,10,0.7,22,162,211,772,1.3,0.1,0,0,22.8,0,0,0.294,0.22,10
shrimp,71,15.6,0.8,0.48,0,65,0.52,22.5,191,146,475,0.94,0.208,0.029,13.6,19.5,0,0,0,1,0
blue crab,81,18.6,0.81,0,0,111,0.63,43.1,278,235,331,3.48,1.09,0.148,44.5,45.8,0,0,0,3.12,0
raw cod,70,16.1,0.67,0,0,7,0.06,18,224,245,299,0.31,0.004,0.0125,114,22.8,0,0,0,1.25,0
raw haddock,69,16.3,0.45,0,0,11,0.17,21.1,227,286,213,0.32,0.021,0.011,0,25.9,0,0.5,0.281,1.83,0
raw pollock,53,12.3,0.41,0,0,15,0.22,16.1,284,160,333,0.31,0.031,0.011,0,15.9,0,0.2,0.069,1.63,0
raw sockeye salmon,130,22.3,4.94,0,0,15,0.4,26.2,226,330,53,0.42,0.062,0.0125,18.4,30.2,0,0,0,5.16,0
raw tilapia,95,19,2.48,0,0,9,0.25,24.3,159,342,94,0.3,0.025,0.005,4.1,20.5,0,0,0,0.76,0
roasted sliced ham,121,19.6,3.68,2.36,0,6,0.86,20.3,246,484,1030,1.76,0.041,0.015,0,0,0,0,0,0,0
raw pork belly with skin,380,15.2,35.8,0,0,4,0.38,12.2,114,208,50,1.07,0.033,0.0126,0,0,0,0,0,0,0
raw pork chop,138,22.8,5.48,0,0,4,0.42,23.4,202,366,39,1.32,0.034,0.002,0,0,0,0,0,0,0
bacon,501,40.9,36.5,2.1,0,13,1.28,36.5,415,557,1830,3.56,0.13,0.02,0,0,0,0,0,0,0
raw ground pork,228,17.8,17.5,0,0,6,0.79,19,173,318,54,2.23,0.067,0.0125,0,0,0,0,0,0,0
